frame_type,pattern_name,iteration,mse,final_mse,additional_iterations
gradient,Dense_ATA_Inverse,0,0.328978,0.328972,0
gradient,Dense_ATA_Inverse,1,0.326288,0.328972,0
gradient,Dense_ATA_Inverse,2,0.327780,0.328972,0
gradient,Dense_ATA_Inverse,3,0.328351,0.328972,0
gradient,Dense_ATA_Inverse,4,0.328642,0.328972,0
gradient,Dense_ATA_Inverse,5,0.328804,0.328972,0
gradient,Dense_ATA_Inverse,6,0.328893,0.328972,0
gradient,Dense_ATA_Inverse,7,0.328942,0.328972,0
gradient,Dense_ATA_Inverse,8,0.328972,0.328972,0
checkerboard,Dense_ATA_Inverse,0,0.495207,0.495311,0
checkerboard,Dense_ATA_Inverse,1,0.490275,0.495311,0
checkerboard,Dense_ATA_Inverse,2,0.492763,0.495311,0
checkerboard,Dense_ATA_Inverse,3,0.493790,0.495311,0
checkerboard,Dense_ATA_Inverse,4,0.494364,0.495311,0
checkerboard,Dense_ATA_Inverse,5,0.494733,0.495311,0
checkerboard,Dense_ATA_Inverse,6,0.494990,0.495311,0
checkerboard,Dense_ATA_Inverse,7,0.495176,0.495311,0
checkerboard,Dense_ATA_Inverse,8,0.495311,0.495311,0
